Hours,Power (kW),Reactive (kVAr),Demand (kVA),Powerfactor,Consumption (kWh)
0,438.4,86,446.8,0.981,438.4
1,435.9,78.3,442.8,0.984,435.9
2,425.1,69.8,430.8,0.987,425.1
3,394.4,23.4,395.1,0.998,394.4
4,357.7,-14,358,0.999,357.7
5,321,-29.8,322.4,0.996,321
6,305.5,-34,307.4,0.994,305.5
7,315.8,-29.3,317.2,0.996,315.8
8,322.7,-23.2,323.5,0.997,322.7
9,320.5,-18.4,321,0.998,320.5
10,318.8,-22.5,319.6,0.998,318.8
11,315.4,-23,316.2,0.997,315.4
12,302.3,-37.4,304.6,0.992,302.3
13,296.5,-44.7,299.9,0.989,296.5
14,291.8,-49.8,296,0.986,291.8
15,289.1,-51.4,293.7,0.985,289.1
16,284.6,-56.9,290.2,0.981,284.6
17,259.9,-65,267.9,0.97,259.9
18,255.5,-61.3,262.7,0.972,255.5
19,259.5,-60.1,266.4,0.974,259.5
20,258.1,-64,265.9,0.971,258.1
21,257.2,-65.6,265.4,0.969,257.2
22,256.8,-63.5,264.5,0.971,256.8
23,258,-66.2,266.4,0.969,258
24,260.4,-70.5,269.7,0.965,260.4
25,259.9,-72.3,269.8,0.963,259.9
26,257.9,-72.4,267.9,0.963,257.9
27,259.2,-70.1,268.6,0.965,259.2
28,265.3,-69.7,274.3,0.967,265.3
29,272,-68.3,280.4,0.97,272
30,320.1,-42.4,322.9,0.991,320.1
31,368.6,-19.8,369.1,0.999,368.6
32,357.1,-21.8,357.7,0.998,357.1
33,381.1,15,381.4,0.999,381.1
34,420.7,71.2,426.7,0.986,420.7
35,438.9,79.3,446.1,0.984,438.9
36,488.9,145.7,510.2,0.958,488.9
37,505,160.2,529.8,0.953,505
38,490,131.5,507.3,0.966,490
39,478.1,114.8,491.7,0.972,478.1
40,499.7,147.8,521.1,0.959,499.7
41,484.9,116,498.6,0.973,484.9
42,482,127.8,498.6,0.967,482
43,491.7,146,513,0.959,491.7
44,476.2,138.8,496,0.96,476.2
45,483.1,163.2,509.9,0.947,483.1
46,485,169.8,513.9,0.944,485
47,486.4,188.7,521.7,0.932,486.4
48,493.4,194.3,530.2,0.93,493.4
49,499.9,209.8,542.2,0.922,499.9
50,486.9,182.5,520,0.936,486.9
51,490.3,180.5,522.4,0.938,490.3
52,495.5,189.9,530.6,0.934,495.5
53,506.2,202.5,545.2,0.928,506.2
54,526,212.7,567.4,0.927,526
55,553.4,231.5,599.9,0.923,553.4
56,555.8,228.7,601,0.925,555.8
57,531.4,188.6,563.9,0.942,531.4
58,520.6,159.3,544.5,0.956,520.6
59,530.7,167,556.4,0.954,530.7
60,495.6,117.3,509.3,0.973,495.6
61,515.5,154,538,0.958,515.5
62,543.3,204.4,580.4,0.936,543.3
63,546.1,205.6,583.5,0.936,546.1
64,560,234.3,607.1,0.923,560
65,515.1,187.5,548.2,0.94,515.1
66,469.1,144,490.7,0.956,469.1
67,237.7,78.7,250.4,0.949,488.7
68,250.7,95.7,268.4,0.934,108.7
69,0,0,0,1,0
70,7.2,3.1,7.8,0.92,0.2
71,0,0,0,1,0
72,14.4,5.5,15.4,0.934,0.5
73,0,0,0,1,0
74,0,0,0,1,0
75,0,0,0,1,0
76,266.7,77,277.6,0.961,155.9
77,517,137.4,534.9,0.966,517
78,533.8,148.6,554.1,0.963,533.8
79,509.7,45.3,511.7,0.996,509.7
80,492.1,-4.2,492.1,1,492.1
81,530.8,73.9,535.9,0.99,530.8
82,490.6,10.7,490.8,1,490.6
83,493.3,14.8,493.5,1,493.3
84,524.4,88.4,531.9,0.986,524.4
85,487.8,25.2,488.5,0.999,487.8
86,496.6,55.6,499.7,0.994,497.4
87,469.3,-5.5,469.4,1,469.3
88,441.8,-37.6,443.4,0.996,441.8
89,553.6,177.4,581.3,0.952,553.6
90,535,166.4,560.2,0.955,535
91,530.9,162.9,555.3,0.956,530.9
92,523.3,162.6,548,0.955,523.3
93,513.2,161.3,538,0.954,513.2
94,505.1,152.3,527.6,0.957,505.1
95,518.6,166,544.5,0.952,518.6
96,523,166.6,548.9,0.953,523
97,521.4,173,549.4,0.949,521.4
98,523.2,154.9,545.7,0.959,523.2
99,526.7,160.9,550.7,0.956,526.7
100,521.3,157.4,544.6,0.957,521.3
101,521.8,156,544.6,0.958,521.8
102,543.9,154.6,565.5,0.962,543.9
103,558.7,163.7,582.2,0.96,558.7
104,467.2,-9.8,467.3,1,467.2
105,482.3,6.6,482.4,1,482.3
106,482.1,2.2,482.1,1,482.1
107,465.1,-25.8,465.8,0.998,465.1
108,454.2,-28,455.1,0.998,454.2
109,460,-14.7,460.2,0.999,460
110,457.1,-22.3,457.6,0.999,457.1
111,458.3,-27.4,459.1,0.998,458.3
112,468.4,-20.8,468.9,0.999,468.4
113,439.8,-39.1,441.5,0.996,439.8
114,409.3,-47.9,412.1,0.993,409.3
115,412.8,-38.4,414.5,0.996,412.8
116,455.9,7.7,456,1,455.9
117,412.7,-40.2,414.6,0.995,412.7
118,409,-29.6,410.1,0.997,409
119,486.4,73.5,492,0.989,486.4
120,531.3,165.7,556.5,0.955,531.3
121,517.1,166.1,543.1,0.952,517.1
122,538.2,160.2,561.6,0.958,538.2
123,532.4,147.1,552.4,0.964,532.4
124,526.3,147.4,546.5,0.963,526.3
125,516.7,157.7,540.2,0.956,516.7
126,534,157.4,556.7,0.959,534.3
127,581.6,184.1,610,0.953,581.6
128,603.5,196.3,634.7,0.951,603.5
129,584.6,185.9,613.4,0.953,585.3
130,585.1,194.8,616.6,0.949,585.1
131,572.5,196.3,605.2,0.946,573.5
132,475.7,30.9,476.7,0.998,475.4
133,518.2,101.1,528,0.981,518.2
134,572.4,180.3,600.1,0.954,572.4
135,436.6,-14.6,436.8,0.999,436.3
136,384.4,-60.6,389.1,0.988,384.4
137,384.2,-12.2,384.4,0.999,385
138,465.7,89.2,474.1,0.982,465.9
139,404.6,-25.5,405.4,0.998,404.6
140,509.4,124.6,524.5,0.971,509.4
141,392.8,-34.6,394.3,0.996,393
142,423.3,12.1,423.4,1,423.3
143,516,168.8,542.9,0.95,516
144,518.5,160.5,542.7,0.955,518.7
145,509.8,140.6,528.8,0.964,510
146,516,140.6,534.8,0.965,516
147,520.9,140.3,539.5,0.966,520.9
148,511.3,144.9,531.5,0.962,511.6
149,508.6,142.1,528,0.963,508.6
150,532.9,156.5,555.4,0.96,532.9
151,586.3,190.4,616.4,0.951,586.3
